"","Sales_in_thousands","Resale_value","Price_in_thousands","Engine_size","Horsepower","Wheelbase","Width","Length","Curb_weight","Fuel_capacity","Fuel_efficiency","Power_perf_factor"
"Sales_in_thousands",1,-0.266435501598747,-0.304413134979834,0.0199831927727391,-0.197756215208117,0.358179043512978,0.140918295909711,0.254979496937362,0.00861978433343076,0.0865396315756028,-0.0167474373285309,-0.223016970946497
"Resale_value",-0.266435501598747,1,0.822394890219183,0.468781097709957,0.696888031182717,-0.0478026478828943,0.159580124872012,0.0238671441795519,0.297129624042646,0.27502589723704,-0.358136923826391,0.743783160522649
"Price_in_thousands",-0.304413134979834,0.822394890219183,1,0.626838665078982,0.838449927786909,0.110511120322142,0.329109225878702,0.156874034627017,0.523752651464744,0.423230209444326,-0.491488853009115,0.897945307405674
"Engine_size",0.0199831927727391,0.468781097709957,0.626838665078982,1,0.83735977202345,0.47213042094698,0.690397942540623,0.541424213498555,0.754667771646724,0.663021847044319,-0.733920033565842,0.818480563992913
"Horsepower",-0.197756215208117,0.696888031182717,0.838449927786909,0.83735977202345,1,0.286308081744323,0.539157737638238,0.393363520320227,0.605225646668941,0.499906953818348,-0.610647604009065,0.991464041729738
"Wheelbase",0.358179043512978,-0.0478026478828943,0.110511120322142,0.47213042094698,0.286308081744323,1,0.683134571396917,0.839638959109645,0.650211208022987,0.654044378585756,-0.497022786944152,0.258846680614115
"Width",0.140918295909711,0.159580124872012,0.329109225878702,0.690397942540623,0.539157737638238,0.683134571396917,1,0.710434890228813,0.71800961037076,0.656301789230376,-0.599465097693026,0.511982354173358
"Length",0.254979496937362,0.0238671441795519,0.156874034627017,0.541424213498555,0.393363520320227,0.839638959109645,0.710434890228813,1,0.625054769830232,0.563539725703211,-0.443993368493421,0.353956390786433
"Curb_weight",0.00861978433343076,0.297129624042646,0.523752651464744,0.754667771646724,0.605225646668941,0.650211208022987,0.71800961037076,0.625054769830232,1,0.863912209386663,-0.8177844856736,0.607311506135692
"Fuel_capacity",0.0865396315756028,0.27502589723704,0.423230209444326,0.663021847044319,0.499906953818348,0.654044378585756,0.656301789230376,0.563539725703211,0.863912209386663,1,-0.80135519853317,0.501122727089475
"Fuel_efficiency",-0.0167474373285309,-0.358136923826391,-0.491488853009115,-0.733920033565842,-0.610647604009065,-0.497022786944152,-0.599465097693026,-0.443993368493421,-0.8177844856736,-0.80135519853317,1,-0.606663719641894
"Power_perf_factor",-0.223016970946497,0.743783160522649,0.897945307405674,0.818480563992913,0.991464041729738,0.258846680614115,0.511982354173358,0.353956390786433,0.607311506135692,0.501122727089475,-0.606663719641894,1
